index,question,ground_truth_id,naive_id,tri_id,naive_hit,tri_hit,naive_conf_score,tri_conf_score
18,Is there a model to teach and practice retroperitoneoscopic nephrectomy?,22694248,22694248,22694248,1,1,7.0142,7.0142
19,Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?,22990761,22990761,22990761,1,1,5.7511,5.7511
20,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,19394934,19394934,19394934,1,1,4.9758,4.9758
21,Acute respiratory distress syndrome in children with malignancy--can we predict outcome?,11481599,11481599,11481599,1,1,7.2629,7.2629
22,Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?,21669959,21669959,21669959,1,1,6.7705,6.7705
23,Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,23806388,23806388,23806388,1,1,7.7492,7.7491
24,Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,17919952,17919952,17919952,1,1,6.3777,6.3777
25,Amblyopia: is visual loss permanent?,10966943,10966943,10966943,1,1,2.7615,2.7615
26,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,23690198,23690198,23690198,1,1,6.2586,6.2586
27,Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,17940352,17940352,17940352,1,1,8.8063,8.8063
28,Is halofantrine ototoxic?,20537205,20537205,20537205,1,1,3.8986,3.8986
29,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,28707539,28707539,23448802,1,0,3.4991,5.9962
30,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,7482275,7482275,7482275,1,1,4.7145,4.7145
31,Is the Hawkins sign able to predict necrosis in fractures of the neck of the astragalus?,24183388,24183388,24183388,1,1,9.2287,9.2287
32,Is a mandatory general surgery rotation necessary in the surgical clerkship?,9645785,9645785,9645785,1,1,9.0777,9.0777
33,Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?,26298839,26298839,26298839,1,1,6.4268,6.4268
34,Is aneurysm repair justified for the patients aged 80 or older after aneurysmal subarachnoid hemorrhage?,24153338,24153338,24153338,1,1,7.0778,7.0778
35,Do general practice characteristics influence uptake of an information technology (IT) innovation in primary care?,18534072,18534072,18534072,1,1,6.5188,6.5188
36,Prognosis of well differentiated small hepatocellular carcinoma--is well differentiated hepatocellular carcinoma clinically early cancer?,8847047,8847047,10536352,1,0,6.0668,6.0886
37,Do follow-up recommendations for abnormal Papanicolaou smears influence patient adherence?,10575390,10575390,10575390,1,1,7.1005,7.1005
38,Biomolecular identification of allergenic pollen: a new perspective for aerobiological monitoring?,20084845,20084845,20084845,1,1,2.8061,2.8061
39,Does diabetes mellitus influence the efficacy of FDG-PET in the diagnosis of cervical cancer?,15703931,15703931,15703931,1,1,5.9149,5.9149
40,Biomechanical and wound healing characteristics of corneas after excimer laser keratorefractive surgery: is there a difference between advanced surface ablation and sub-Bowman's keratomileusis?,18269157,18269157,18269157,1,1,7.8452,7.8452
41,Does radiotherapy of the primary rectal cancer affect prognosis after pelvic exenteration for recurrent rectal cancer?,25489696,25489696,25489696,1,1,8.1982,8.1982
42,Can a practicing surgeon detect early lymphedema reliably?,14599616,14599616,10767794,1,0,-1.4939,-4.7071
43,Colorectal cancer with synchronous liver metastases: does global management at the same centre improve results?,22537902,22537902,22537902,1,1,5.2858,5.2858
44,Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,19054501,19054501,19054501,1,1,8.5848,8.5848
45,Transgastric endoscopic splenectomy: is it possible?,16432652,16432652,16432652,1,1,4.6657,4.6657
46,It's Fournier's gangrene still dangerous?,19504993,19504993,16123564,1,0,4.0943,5.2771
47,Is it appropriate to implant kidneys from elderly donors in young recipients?,20571467,20571467,20571467,1,1,7.1624,7.1624
48,Do provider service networks result in lower expenditures compared with HMOs or primary care case management in Florida's Medicaid program?,24237112,24237112,24237112,1,1,6.3421,6.3421
49,Assessment of carotid artery stenosis before coronary artery bypass surgery. Is it always necessary?,21402341,21402341,16373639,1,0,0.6705,6.1616
50,Should direct mesocolon invasion be included in T4 for the staging of gastric cancer?,20082356,20082356,20082356,1,1,5.8309,5.8309
51,Do Surrogates of Injury Severity Influence the Occurrence of Heterotopic Ossification in Fractures of the Acetabulum?,26606599,26606599,26606599,1,1,6.4055,6.4055
52,Does pretreatment with statins improve clinical outcome after stroke?,11340218,11340218,25907521,1,0,5.9054,8.5152
53,Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?,25481573,25481573,25481573,1,1,2.7045,2.7045
54,Sternal fracture in growing children : A rare and often overlooked fracture?,25277731,25277731,25277731,1,1,5.3999,5.3999
55,Is there a correlation between androgens and sexual desire in women?,25475395,25475395,25475395,1,1,8.8793,8.8793
56,Does immediate breast reconstruction compromise the delivery of adjuvant chemotherapy?,23177368,23177368,23177368,1,1,7.2214,7.2214
57,Human papillomavirus and pterygium. Is the virus a risk factor?,17179167,17179167,17179167,1,1,6.3806,6.3806
58,Can PRISM predict length of PICU stay?,14612308,21144803,14612308,0,1,-9.8250,6.1743
59,Can predilatation in transcatheter aortic valve implantation be omitted?,27491658,27491658,27491658,1,1,7.3797,7.3797
60,Autoerotic asphyxiation: secret pleasure--lethal outcome?,19822586,19822586,19822586,1,1,-1.0090,-1.0090
61,Major depression and alcohol use disorder in adolescence: Does comorbidity lead to poorer outcomes of depression?,27643961,27643961,27643961,1,1,7.2309,7.2309
62,Cold preparation use in young children after FDA warnings: do concerns still exist?,23539689,23539689,23539689,1,1,5.4015,5.4015
63,Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®?,22453060,22453060,22453060,1,1,6.0855,6.0855
64,Can we measure mesopic pupil size with the cobalt blue light slit-lamp biomicroscopy method?,22227642,22227642,22227642,1,1,4.0176,4.0176
65,Should circumcision be performed in childhood?,12380309,17806024,26430441,0,0,3.1965,7.5257
66,Does a colonoscopy after acute diverticulitis affect its management?,22186742,22186742,22186742,1,1,7.5451,7.5451
67,Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,22188074,22188074,22188074,1,1,8.5913,8.5913
68,Does the Simultaneous Use of a Neuroendoscope Influence the Incidence of Ventriculoperitoneal Shunt Infection?,27989969,27989969,27989969,1,1,6.2320,6.2320
69,"Body perception: do parents, their children, and their children's physicians perceive body image differently?",18607272,18607272,18607272,1,1,5.7803,5.7803
70,Is a specialised training of phonological awareness indicated in every preschool child?,18235194,18235194,18235194,1,1,7.4391,7.4391
71,Is there any relationship between streptococcal infection and multiple sclerosis?,18049437,18049437,18049437,1,1,6.7044,6.7044
72,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,15597845,15597845,15597845,1,1,5.6463,5.6463
73,Assessing joint line positions by means of the contralateral knee: a new approach for planning knee revision surgery?,24996865,24996865,24996865,1,1,5.6685,5.6685
74,Does the type of tibial component affect mechanical alignment in unicompartmental knee replacement?,23361217,23361217,23361217,1,1,6.9387,6.9387
75,Is tumour expression of VEGF associated with venous invasion and survival in pT3 renal cell carcinoma?,17489316,17489316,17489316,1,1,9.1284,9.1284
76,Injury and poisoning mortality among young men--are there any common factors amenable to prevention?,14518645,14518645,14518645,1,1,5.9468,5.9468
77,Continuation of pregnancy after antenatal corticosteroid administration: opportunity for rescue?,20337202,20337202,20337202,1,1,6.8387,6.8387
78,Does either obesity or OSA severity influence the response of autotitrating CPAP machines in very obese subjects?,26449554,26449554,26449554,1,1,5.3692,5.3692
79,Does the clinical presentation of a prior preterm birth predict risk in a subsequent pregnancy?,26215326,25281363,26215326,0,1,2.6957,6.4943
80,Is the Distance Worth It?,29112560,29112560,22167065,1,0,-6.0596,-8.5785
81,Aripiprazole: a new risk factor for pathological gambling?,24315783,24315783,24315783,1,1,8.2670,8.2670
82,Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,9381529,9381529,9381529,1,1,6.4564,6.4564
83,Does induction chemotherapy have a role in the management of nasopharyngeal carcinoma?,8985020,8985020,8985020,1,1,1.6140,1.6140
84,Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,26708803,26708803,26708803,1,1,5.6478,5.6478
85,"Are normally sighted, visually impaired, and blind pedestrians accurate and reliable at making street crossing decisions?",22427593,22427593,22427593,1,1,10.0588,10.0588
86,Is it Crohn's disease?,11570976,19098859,17682002,0,0,1.1645,5.3389
87,Is Chaalia/Pan Masala harmful for health?,19757704,19757704,19757704,1,1,6.0599,6.0599
88,Does multi-modal cervical physical therapy improve tinnitus in patients with cervicogenic somatic tinnitus?,27592038,27592038,27592038,1,1,7.6443,7.6443
89,Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?,27044366,27044366,27044366,1,1,6.7897,6.7897
90,Is HIV/STD control in Jamaica making a difference?,9792366,9792366,9792366,1,1,5.0075,5.0075
91,Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?,17562682,17562682,17562682,1,1,7.8321,7.8321
92,Are even impaired fasting blood glucose levels preoperatively associated with increased mortality after CABG surgery?,15800018,15800018,15800018,1,1,8.6369,8.6369
93,Does positron emission tomography change management in primary rectal cancer?,14978612,14978612,14978612,1,1,9.3429,9.3429
94,Can you deliver accurate tidal volume by manual resuscitator?,18843057,18843057,18843057,1,1,8.0784,8.0784
95,Can increases in the cigarette tax rate be linked to cigarette retail prices?,23076787,23076787,23076787,1,1,5.8637,5.8637
96,Vertical lines in distal esophageal mucosa (VLEM): a true endoscopic manifestation of esophagitis in children?,9199905,9199905,9199905,1,1,6.9462,6.9462
97,Does hypoglycaemia increase the risk of cardiovascular events?,23999452,23999452,23999452,1,1,6.2836,6.2836
98,Does the radiographic transition zone correlate with the level of aganglionosis on the specimen in Hirschsprung's disease?,22534881,22534881,22534881,1,1,8.2787,8.2787
99,Is dexamethasone an effective alternative to oral prednisone in the treatment of pediatric asthma exacerbations?,24785562,24785562,24785562,1,1,9.9586,9.9586
100,Mammographic screening in Sami speaking municipalities and a control group. Are early outcome measures influenced by ethnicity?,22564465,22564465,22564465,1,1,3.4783,3.4783
101,Do Electrochemiluminescence Assays Improve Prediction of Time to Type 1 Diabetes in Autoantibody-Positive TrialNet Subjects?,27456836,27456836,27456836,1,1,9.2477,9.2477
102,Assessment of appropriate antimicrobial prescribing: do experts agree?,27287237,27287237,27287237,1,1,6.5466,6.5466
103,Is there a favorable subset of patients with prostate cancer who develop oligometastases?,14697414,20605361,24668120,0,0,-0.8443,-0.1577
104,Cycloplegic autorefraction in young adults: is it mandatory?,26686513,24613070,9368559,0,0,-9.4849,-6.8201
105,Does screening or surveillance for primary hepatocellular carcinoma with ultrasonography improve the prognosis of patients?,15530261,15530261,15530261,1,1,8.2404,8.2404
106,"""Would a man smell a rose then throw it away?",24160268,11376468,23387344,0,0,-9.7360,-10.0070
107,Department of Transportation vs self-reported data on motor vehicle collisions and driving convictions for stroke survivors: do they agree?,21823940,21823940,21823940,1,1,6.8969,6.8969
108,"Neoadjuvant Imatinib in Locally Advanced Gastrointestinal stromal Tumours, Will Kit Mutation Analysis Be a Pathfinder?",27217036,27217036,27217036,1,1,5.8799,5.8799
109,Does the lipid-lowering peroxisome proliferator-activated receptors ligand bezafibrate prevent colon cancer in patients with coronary artery disease?,18565233,18565233,18565233,1,1,7.1152,7.1152
110,Does self-efficacy mediate the relationship between transformational leadership behaviours and healthcare workers' sleep quality?,19694846,19694846,19694846,1,1,8.5849,8.5849
111,Does microbial contamination influence the success of the hematopoietic cell transplantation outcomes?,27184293,27184293,27184293,1,1,7.4547,7.4547
112,Very high serum CA 19-9 levels: a contraindication to pancreaticoduodenectomy?,19459018,19459018,15197014,1,0,5.3987,3.4162
113,Perioperative care in an animal model for training in abdominal surgery: is it necessary a preoperative fasting?,22042121,22042121,22042121,1,1,4.0804,4.0804
114,Are physicians aware of the side effects of angiotensin-converting enzyme inhibitors?,16100194,16100194,16100194,1,1,7.6463,7.6463
115,Residual fundus or neofundus after laparoscopic sleeve gastrectomy: is fundectomy safe and effective as revision surgery?,25480629,25480629,25480629,1,1,7.2853,7.2853
116,Are physician estimates of asthma severity less accurate in black than in white patients?,17453263,17453263,17453263,1,1,9.4619,9.4619
117,Does laparoscopic surgery decrease the risk of atrial fibrillation after foregut surgery?,18322741,18322741,18322741,1,1,6.9113,6.9113
118,"The Main Gate Syndrome: a new format in mass-casualty victim ""surge"" management?",19106867,19106867,19106867,1,1,-0.8345,-0.8345
119,Do communication disorders extend to musical messages?,25691513,25691513,25691513,1,1,3.9121,3.9121
120,Do patients with rheumatoid arthritis established on methotrexate and folic acid 5 mg daily need to continue folic acid supplements long term?,11035130,11035130,11035130,1,1,6.3661,6.3661
121,Can infundibular height predict the clearance of lower pole calyceal stone after extracorporeal shockwave lithotripsy?,19409117,19409117,15379931,1,0,5.7762,7.8155
122,Does lung ischemia and reperfusion have an impact on coronary flow?,21900017,21900017,21900017,1,1,5.6242,5.6242
123,Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,16968876,16968876,16968876,1,1,9.1091,9.1091
124,Transient tachypnea of the newborn (TTN): a role for polymorphisms in the beta-adrenergic receptor (ADRB) encoding genes?,18540901,18540901,18540901,1,1,5.7962,5.7962
125,Is duration of psychological treatment for depression related to return into treatment?,27448572,27448572,27448572,1,1,5.8733,5.8733
126,Does shaving the incision site increase the infection rate after spinal surgery?,17621202,17621202,17621202,1,1,9.7095,9.7095
127,The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?,25987398,25987398,25987398,1,1,7.2650,7.2650
128,Do French lay people and health professionals find it acceptable to breach confidentiality to protect a patient's wife from a sexually transmitted disease?,16816043,16816043,16816043,1,1,9.7163,9.7163
129,Do somatic complaints predict subsequent symptoms of depression?,12920330,12920330,12920330,1,1,8.7502,8.7502
130,Are women with major depression in pregnancy identifiable in population health data?,23497210,23497210,23497210,1,1,4.6918,4.6918
131,Remote ischemic postconditioning: does it protect against ischemic damage in percutaneous coronary revascularization?,21952349,21952349,27411096,1,0,4.8957,5.8985
132,Does combining antiretroviral agents in a single dosage form enhance quality of life of HIV/AIDS patients?,21712147,21712147,21712147,1,1,7.9704,7.9704
133,The inverse equity hypothesis: does it apply to coverage of cancer screening in middle-income countries?,25311479,25311479,25311479,1,1,8.2111,8.2111
134,Identification of racial disparities in breast cancer mortality: does scale matter?,20602784,20602784,27297238,1,0,4.4972,3.0594
135,Does the leukocyte count correlate with the severity of injury?,12836106,10476263,12836106,0,1,-0.3383,4.8649
136,Can transcranial direct current stimulation be useful in differentiating unresponsive wakefulness syndrome from minimally conscious state patients?,25588461,25588461,26754875,1,0,5.2288,6.3445
137,Aromatase inhibitor-related musculoskeletal symptoms: is preventing osteoporosis the key to eliminating these symptoms?,19299238,19299238,19299238,1,1,3.1525,3.1525
138,Could different follow-up modalities play a role in the diagnosis of asymptomatic endometrial cancer relapses?,22706226,22706226,22706226,1,1,1.4886,1.4886
139,Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?,12913878,12913878,12913878,1,1,6.6092,6.6092
140,Preoperative tracheobronchoscopy in newborns with esophageal atresia: does it matter?,16769333,16769333,16769333,1,1,4.9012,4.9012
141,Is horizontal semicircular canal ocular reflex influenced by otolith organs input?,22497340,22497340,22497340,1,1,9.7163,9.7163
142,Is perforation of the appendix a risk factor for tubal infertility and ectopic pregnancy?,10223070,10223070,10223070,1,1,9.4351,9.4351
143,Serovar specific immunity to Neisseria gonorrhoeae: does it exist?,8566975,8566975,8566975,1,1,5.4306,5.4306
144,May student examiners be reasonable substitute examiners for faculty in an undergraduate OSCE on medical emergencies?,25186850,25186850,25186850,1,1,5.0236,5.0236
145,Are endothelial cell patterns of astrocytomas indicative of grade?,9427037,9427037,9427037,1,1,3.9903,3.9903
146,Do healthier lifestyles lead to less utilization of healthcare resources?,28359277,28359277,16376700,1,0,1.2759,2.3093
147,Antral follicle assessment as a tool for predicting outcome in IVF--is it a better predictor than age and FSH?,11411430,11411430,11411430,1,1,6.8405,6.8405
148,Do all ethnic groups in New Zealand exhibit socio-economic mortality gradients?,16956164,16956164,16956164,1,1,7.6706,7.6706
149,Can normal knee kinematics be restored with unicompartmental knee replacement?,15687156,15687156,15687156,1,1,7.7860,7.7860
150,Are serum leptin levels a prognostic factor in advanced lung cancer?,28127977,28127977,28127977,1,1,8.2122,8.2122
151,Is fetal gender associated with emergency department visits for asthma during pregnancy?,16809243,16809243,16809243,1,1,9.2038,9.2038
152,Stretch-sensitive KCNQ1 mutation A link between genetic and environmental factors in the pathogenesis of atrial fibrillation?,17276182,17276182,17276182,1,1,6.2301,6.2301
153,Are adult body circumferences associated with height?,21123461,21123461,25899985,1,0,2.8370,4.9817
154,Would corrected QT dispersion predict left ventricular hypertrophy in hypertensive patients?,22428608,22428608,22428608,1,1,8.6553,8.6553
155,Traumatic aortic injury: does the anatomy of the aortic arch influence aortic trauma severity?,27858166,27858166,27858166,1,1,8.0187,8.0187
156,Inpatient versus outpatient management of neutropenic fever in gynecologic oncology patients: is risk stratification useful?,23791827,23791827,23791827,1,1,5.4822,5.4822
157,Should chest wall irradiation be included after mastectomy and negative node breast cancer?,18243752,18243752,18243752,1,1,6.0250,6.0250
158,Can bisphosphonate treatment be stopped in a growing child with skeletal fragility?,17279467,17279467,17279467,1,1,9.2915,9.2915
159,"Regional anesthesia as compared with general anesthesia for surgery in geriatric patients with hip fracture: does it decrease morbidity, mortality, and health care costs?",22758782,22758782,23819114,1,0,7.5291,7.6578
160,Does blood pressure change in treated hypertensive patients depending on whether it is measured by a physician or a nurse?,15223725,15223725,15223725,1,1,6.5522,6.5522
161,Treadmill testing of children who have spina bifida and are ambulatory: does peak oxygen uptake reflect maximum oxygen uptake?,19482903,19482903,19482903,1,1,7.2934,7.2934
162,Is the probability of prenatal diagnosis or termination of pregnancy different for fetuses with congenital anomalies conceived following assisted reproductive techniques?,25752912,25752912,25752912,1,1,7.2692,7.2692
163,Is there a relationship between complex fractionated atrial electrograms recorded during atrial fibrillation and sinus rhythm fractionation?,21946341,21946341,21946341,1,1,8.0361,8.0361
164,Does rural or urban residence make a difference to neonatal outcome in premature birth?,16428354,16428354,16428354,1,1,5.3455,5.3455
165,Is the use of cyanoacrylate in intestinal anastomosis a good and reliable alternative?,19302863,19302863,19302863,1,1,0.6308,0.6308
166,Is trabecular bone related to primary stability of miniscrews?,24245816,24245816,24245816,1,1,7.6151,7.6151
167,"Is there any evidence of a ""July effect"" in patients undergoing major cancer surgery?",24666444,24666444,24666444,1,1,9.6273,9.6273
168,Is it necessary to insert a nasobiliary drainage tube routinely after endoscopic clearance of the common bile duct in patients with choledocholithiasis-induced cholangitis?,19913785,19913785,19913785,1,1,8.4567,8.4567
169,Storage of vaccines in the community: weak link in the cold chain?,1571683,26778422,8369691,0,0,1.4382,2.4175
170,Is the clinically positive axilla in breast cancer really a contraindication to sentinel lymph node biopsy?,15631914,15631914,15631914,1,1,9.5171,9.5171
171,Convulsions and retinal haemorrhage: should we look further?,11970923,11970923,11970923,1,1,3.9521,3.9521
172,Are patients willing participants in the new wave of community-based medical education in regional and rural Australia?,20121683,20121683,20121683,1,1,5.7427,5.7427
173,Can Flexible Instruments Create Adequate Femoral Tunnel Lengths at 90° of Knee Flexion in Anterior Cruciate Ligament Reconstruction?,27281318,27281318,22289428,1,0,6.3625,6.4671
174,Quality of life in lung cancer patients: does socioeconomic status matter?,12846929,12846929,12846929,1,1,7.0152,7.0152
175,Are Biochemical Markers of Bone Turnover Representative of Bone Histomorphometry in 370 Postmenopausal Women?,26505821,26505821,26505821,1,1,6.2868,6.2868
176,Should early extubation be the goal for children after congenital cardiac surgery?,25156467,25156467,25156467,1,1,6.0942,6.0942
177,Does delivery mode affect women's postpartum quality of life in rural China?,22023714,22023714,22023714,1,1,10.0948,10.0948
178,Menopausal hormone therapy and irregular endometrial bleeding: a potential role for uterine natural killer cells?,16046584,16046584,16046584,1,1,6.4290,6.4290
179,Percutaneous ethanol injection for benign cystic thyroid nodules: is aspiration of ethanol-mixed fluid advantageous?,16155169,16155169,16155169,1,1,7.1551,7.1551
180,Can the growth rate of a gallbladder polyp predict a neoplastic polyp?,19398929,19398929,19398929,1,1,8.1294,8.1294
181,Are performance measurement systems useful?,28143468,28143468,28143468,1,1,4.7662,4.7662
182,Does para-cervical block offer additional advantages in abortion induction with gemeprost in the 2nd trimester?,9483814,9483814,9483814,1,1,3.1976,3.1976
183,Does insulin resistance drive the association between hyperglycemia and cardiovascular risk?,22720085,22720085,22720085,1,1,7.3238,7.3238
184,Are there risk factors that increase the rate of staple line leakage in patients undergoing primary sleeve gastrectomy for morbid obesity?,24748473,24748473,24748473,1,1,7.7882,7.7882
185,Chronic functional somatic symptoms: a single syndrome?,15588538,15588538,22932928,1,0,4.0836,5.3199
186,"Actinobaculum schaalii, a cause of urinary tract infections in children?",22211919,22211919,22211919,1,1,7.4778,7.4778
187,Prevalence of chronic conditions among Medicare Part A beneficiaries in 2008 and 2010: are Medicare beneficiaries getting sicker?,24433626,24433626,24433626,1,1,7.6473,7.6473
188,Does successful completion of the Perinatal Education Programme result in improved obstetric practice?,9542484,12735409,9542484,0,1,-9.8634,7.4243
189,Do patients with localized prostate cancer treatment really want more aggressive treatment?,17008699,25397964,17008699,0,1,-0.2266,6.9667
190,Does music influence stress in mechanically ventilated patients?,23228527,23228527,23228527,1,1,8.7064,8.7064
191,Does reducing spasticity translate into functional benefit?,15489384,15607994,15489384,0,1,-5.0663,4.5016
192,Is the holmium:YAG laser the best intracorporeal lithotripter for the ureter?,17444776,17444776,17444776,1,1,8.5623,8.5623
193,Metered-dose inhalers. Do health care providers know what to teach?,8422202,8422202,8422202,1,1,5.7519,5.7519
194,Does the bracket-ligature combination affect the amount of orthodontic space closure over three months?,23794696,23794696,23794696,1,1,9.1357,9.1357
195,Health habits and vaccination status of Lebanese residents: are future doctors applying the rules of prevention?,20549895,20549895,20549895,1,1,-1.2472,-1.2472
196,Does vaginal intraepithelial neoplasia have the same evolution as cervical intraepithelial neoplasia?,18714572,18714572,18714572,1,1,2.8550,2.8549
197,Should general practitioners call patients by their first names?,2224269,2224269,2224269,1,1,9.0315,9.0315
198,Transesophageal echocardiographic assessment of left ventricular function in brain-dead patients: are marginally acceptable hearts suitable for transplantation?,8910148,8910148,8910148,1,1,5.8164,5.8164
199,Attenuation of ischemia/reperfusion-induced ovarian damage in rats: does edaravone offer protection?,23899611,16607102,16230177,0,0,1.0370,5.6844
200,Does the National Institutes of Health Stroke Scale favor left hemisphere strokes?,10548670,10548670,10548670,1,1,6.9391,6.9391
201,Can a Novel Surgical Approach to the Temporomandibular Joint Improve Access and Reduce Complications?,26907557,26907557,26907557,1,1,7.3344,7.3344
202,"Young-Burgess classification of pelvic ring fractures: does it predict mortality, transfusion requirements, and non-orthopaedic injuries?",20871246,20871246,20871246,1,1,9.1713,9.1713
203,Is vitamin D deficiency a feature of pediatric celiac disease?,22876568,24625968,22876568,0,1,3.1634,4.2815
204,Is unsafe sexual behaviour increasing among HIV-infected individuals?,15280782,15280782,15280782,1,1,8.4417,8.4417
205,Cholestasis associated with small bowel atresia: do we always need to investigate?,17502203,17502203,17502203,1,1,6.8392,6.8392
206,Are financial incentives cost-effective to support smoking cessation during pregnancy?,26370095,22471787,22471787,0,0,8.7287,8.7287
207,Can medical students contribute to quality assurance programmes in day surgery?,10354335,10354335,10354335,1,1,8.2585,8.2585
208,Measurement of head and neck paragangliomas: is volumetric analysis worth the effort?,26452334,26452334,26452334,1,1,2.9983,2.9983
209,Three-dimensional ultrasound-validated large-core needle biopsy: is it a reliable method for the histological assessment of breast lesions?,15065192,15065192,15065192,1,1,8.9195,8.9195
210,Can bone thickness and inter-radicular space affect miniscrew placement in posterior mandibular sites?,25488308,25488308,25488308,1,1,6.7743,6.7743
211,Do general practice selection scores predict success at MRCGP?,22449464,22449464,22449464,1,1,7.7345,7.7345
212,The Deformity Angular Ratio: Does It Correlate With High-Risk Cases for Potential Spinal Cord Monitoring Alerts in Pediatric 3-Column Thoracic Spinal Deformity Corrective Surgery?,26222664,26222664,26222664,1,1,5.1017,5.1017
213,Does age moderate the effect of personality disorder on coping style in psychiatric inpatients?,22617083,22617083,22617083,1,1,5.9519,5.9519
214,Autoxidation products of both carbohydrates and lipids are increased in uremic plasma: is there oxidative stress in uremia?,9767546,9767546,9767546,1,1,4.0603,4.0603
215,Can 'high-risk' human papillomaviruses (HPVs) be detected in human breast milk?,21214884,21214884,21214884,1,1,9.2827,9.2827
216,Quaternary cytoreductive surgery in ovarian cancer: does surgical effort still matter?,23321509,23321509,23321509,1,1,3.2405,3.2405
217,Chemotherapy and survival in advanced non-small cell lung carcinoma: is pneumologists' skepticism justified?,16827975,16827975,16827975,1,1,7.0414,7.0414
218,Does topical ropivacaine reduce the post-tonsillectomy morbidity in pediatric patients?,18179827,18179827,18179827,1,1,7.3753,7.3753
219,Is pain a clinically relevant problem in general adult psychiatry?,14872327,14872327,14872327,1,1,6.0332,6.0332
220,Does concomitant anterior/apical repair during midurethral sling improve the overactive bladder component of mixed incontinence?,24809662,24809662,24809662,1,1,8.6195,8.6195
221,Does the use of atypical antipsychotics as adjunctive therapy in depression result in cost savings?,26485091,26485091,26485091,1,1,4.8288,4.8288
